,ICAO,Name,Altitude ,Latitude,Longitude,,,,,,,,,,,,,,,,,,
43,VIAG,Agra Airport,551,27.15583,77.960892,,,,,,,,,,,,,,VIAG,Agra Airport,551,27.15583,77.960892
44,LTCO,Agri Airport,5462,39.65456,43.027149,,,,,,,,,,,,,,LTCO,Agri Airport,5462,39.65456,43.027149
45,SWHP,Agua Boa Airport,1506,-14.019444,-52.152222,,,,,,,,,,,,,,SWHP,Agua Boa Airport,1506,-14.019444,-52.152222
46,SKAG,Aguachica Hacaritama Airport,531,8.246203,-73.579628,,,,,,,,,,,,,,SKAG,Aguachica Hacaritama Airport,531,8.246203,-73.579628
47,TJBQ,Aguadilla Rafael Hernandez Airport,237,18.49486,-67.129402,,,,,,,,,,,,,,TJBQ,Aguadilla Rafael Hernandez Airport,237,18.49486,-67.129402
48,MMAS,Aguascalientes International Airport,6112,21.705549,-102.317001,,,,,,,,,,,,,,MMAS,Aguascalientes International Airport,6112,21.705549,-102.317001
49,NTHE,Ahe Airport,11,-14.42759,-146.255981,,,,,,,,,,,,,,NTHE,Ahe Airport,11,-14.42759,-146.255981
50,VAAH,Ahmedabad International Airport,189,23.07724,72.634651,,,,,,,,,,,,,,VAAH,Ahmedabad International Airport,189,23.07724,72.634651
51,OIAW,Ahwaz International Airport,66,31.337429,48.761951,,,,,,,,,,,,,,OIAW,Ahwaz International Airport,66,31.337429,48.761951
52,KAIK,Aiken Municipal Airport,528,33.649399,-81.684998,,,,,,,,,,,,,,KAIK,Aiken Municipal Airport,528,33.649399,-81.684998
53,PTRO,Airai Roman Tmetuchl International Airport,176,7.367303,134.544205,,,,,,,,,,,,,,PTRO,Airai Roman Tmetuchl International Airport,176,7.367303,134.544205
54,NCAI,Aitutaki Airport,14,-18.8309,-159.764008,,,,,,,,,,,,,,NCAI,Aitutaki Airport,14,-18.8309,-159.764008
55,LFMA,Aix-en-Provence Airport,368,43.50528,5.367222,,,,,,,,,,,,,,LFMA,Aix-en-Provence Airport,368,43.50528,5.367222
56,VELP,Aizawl Lengpui Airport,1001,23.838442,92.620361,,,,,,,,,,,,,,VELP,Aizawl Lengpui Airport,1001,23.838442,92.620361
57,LFKJ,Ajaccio Napoleon Bonaparte Airport,16,41.923882,8.8025,,,,,,,,,,,,,,LFKJ,Ajaccio Napoleon Bonaparte Airport,16,41.923882,8.8025
58,PFAK,Akiak Airport,30,60.902901,-161.231003,,,,,,,,,,,,,,PFAK,Akiak Airport,30,60.902901,-161.231003
59,RJSK,Akita Airport,313,39.615551,140.218597,,,,,,,,,,,,,,RJSK,Akita Airport,313,39.615551,140.218597
60,CYKD,Aklavik Airport,23,68.223297,-135.005997,,,,,,,,,,,,,,CYKD,Aklavik Airport,23,68.223297,-135.005997
61,KCAK,Akron Canton Airport,1225,40.91608,-81.442101,,,,,,,,,,,,,,KCAK,Akron Canton Airport,1225,40.91608,-81.442101
62,KAKR,Akron Fulton International Airport,1067,41.037498,-81.466904,,,,,,,,,,,,,,KAKR,Akron Fulton International Airport,1067,41.037498,-81.466904
63,ZWAK,Aksu Airport,3816,41.262501,80.291664,,,,,,,,,,,,,,ZWAK,Aksu Airport,3816,41.262501,80.291664
64,UATE,Aktau Airport,73,43.86005,51.091969,,,,,,,,,,,,,,UATE,Aktau Airport,73,43.86005,51.091969
65,LGPZ,Aktion National Airport,11,38.925461,20.76531,,,,,,,,,,,,,,LGPZ,Aktion National Airport,11,38.925461,20.76531
