,ICAO,Name,Altitude ,Latitude,Longitude,,,,,,,,,,,,,,,,,,
623,KBRD,Brainerd Lakes Regional Airport,1226,46.397221,-94.137497,,,,,,,,,,,,,,KBRD,Brainerd Lakes Regional Airport,1226,46.397221,-94.137497
624,CYBR,Brandon Municipal Airport,1343,49.91,-99.951897,,,,,,,,,,,,,,CYBR,Brandon Municipal Airport,1343,49.91,-99.951897
625,KBBG,Branson Airport,1302,36.532082,-93.2005,,,,,,,,,,,,,,KBBG,Branson Airport,1302,36.532082,-93.2005
626,SBBR,Brasilia International Airport,3479,-15.8711,-47.918598,,,,,,,,,,,,,,SBBR,Brasilia International Airport,3479,-15.8711,-47.918598
627,LRBV,Brasov Airport,1738,45.706043,25.52339,,,,,,,,,,,,,,LRBV,Brasov Airport,1738,45.706043,25.52339
628,LZIB,Bratislava M. R. Stefanik Airport,436,48.170158,17.21266,,,,,,,,,,,,,,LZIB,Bratislava M. R. Stefanik Airport,436,48.170158,17.21266
629,UIBB,Bratsk Airport,1610,56.370548,101.698303,,,,,,,,,,,,,,UIBB,Bratsk Airport,1610,56.370548,101.698303
630,EDVE,Braunschweig Airport,295,52.31916,10.55611,,,,,,,,,,,,,,EDVE,Braunschweig Airport,295,52.31916,10.55611
631,KBWC,Brawley Municipal Airport,-128,32.992901,-115.516998,,,,,,,,,,,,,,KBWC,Brawley Municipal Airport,-128,32.992901,-115.516998
632,FCBB,Brazzaville Maya Maya Airport,1048,-4.2517,15.25303,,,,,,,,,,,,,,FCBB,Brazzaville Maya Maya Airport,1048,-4.2517,15.25303
633,EHSE,Breda International Airport,28,51.554962,4.553187,,,,,,,,,,,,,,EHSE,Breda International Airport,28,51.554962,4.553187
634,ENOL,Brekstad Orland Airport,28,63.698898,9.604003,,,,,,,,,,,,,,ENOL,Brekstad Orland Airport,28,63.698898,9.604003
635,EDDW,Bremen Airport,14,53.047501,8.786667,,,,,,,,,,,,,,EDDW,Bremen Airport,14,53.047501,8.786667
636,KPWT,Bremerton National Airport,439,47.485001,-122.763336,,,,,,,,,,,,,,KPWT,Bremerton National Airport,439,47.485001,-122.763336
637,EDTG,Bremgarten Airport,697,47.903278,7.617431,,,,,,,,,,,,,,EDTG,Bremgarten Airport,697,47.903278,7.617431
638,LIPO,Brescia Montichiari Airport,356,45.428879,10.33055,,,,,,,,,,,,,,LIPO,Brescia Montichiari Airport,356,45.428879,10.33055
639,LIMB,Bresso Airport,474,45.539577,9.202372,,,,,,,,,,,,,,LIMB,Bresso Airport,474,45.539577,9.202372
640,UMBB,Brest Airport,469,52.116669,23.883333,,,,,,,,,,,,,,UMBB,Brest Airport,469,52.116669,23.883333
641,LFRB,Brest Bretagne Airport,325,48.44722,-4.42166,,,,,,,,,,,,,,LFRB,Brest Bretagne Airport,325,48.44722,-4.42166
642,SNVS,Breves Airport,47,-1.636789,-50.443901,,,,,,,,,,,,,,SNVS,Breves Airport,47,-1.636789,-50.443901
643,PFKT,Brevig Mission Airport,38,65.331299,-166.466003,,,,,,,,,,,,,,PFKT,Brevig Mission Airport,38,65.331299,-166.466003
644,YBRW,Brewarrina Airport,416,-29.976055,146.814148,,,,,,,,,,,,,,YBRW,Brewarrina Airport,416,-29.976055,146.814148
645,FEFR,Bria Airport,1975,6.527778,21.989441,,,,,,,,,,,,,,FEFR,Bria Airport,1975,6.527778,21.989441
646,KBDR,Bridgeport Sikorsky Memorial Airport,4,41.16473,-73.121933,,,,,,,,,,,,,,KBDR,Bridgeport Sikorsky Memorial Airport,4,41.16473,-73.121933
647,TBPB,Bridgetown Grantley Adams International Airport,169,13.0746,-59.492401,,,,,,,,,,,,,,TBPB,Bridgetown Grantley Adams International Airport,169,13.0746,-59.492401
648,KBMC,Brigham City Airport,4226,41.549168,-112.062225,,,,,,,,,,,,,,KBMC,Brigham City Airport,4226,41.549168,-112.062225
649,EGKA,Brighton City Shoreham Airport,7,50.835548,-0.29722,,,,,,,,,,,,,,EGKA,Brighton City Shoreham Airport,7,50.835548,-0.29722
650,LIBR,Brindisi Airport,47,40.657631,17.947029,,,,,,,,,,,,,,LIBR,Brindisi Airport,47,40.657631,17.947029
651,YBBN,Brisbane Airport,14,-27.388636,153.126251,,,,,,,,,,,,,,YBBN,Brisbane Airport,14,-27.388636,153.126251
652,YBAF,Brisbane Archerfield Airport,49,-27.572161,153.003525,,,,,,,,,,,,,,YBAF,Brisbane Archerfield Airport,49,-27.572161,153.003525
653,EGGD,Bristol Airport,622,51.38266,-2.71908,,,,,,,,,,,,,,EGGD,Bristol Airport,622,51.38266,-2.71908
654,LFSL,Brive Souillac Airport,1016,45.040031,1.487762,,,,,,,,,,,,,,LFSL,Brive Souillac Airport,1016,45.040031,1.487762
655,LKTB,Brno Turany Airport,778,49.15126,16.694429,,,,,,,,,,,,,,LKTB,Brno Turany Airport,778,49.15126,16.694429
656,CYBT,Brochet Airport,1136,57.889439,-101.678001,,,,,,,,,,,,,,CYBT,Brochet Airport,1136,57.889439,-101.678001
657,KBBW,Broken Bow Municipal Airport,2527,41.436436,-99.642082,,,,,,,,,,,,,,KBBW,Broken Bow Municipal Airport,2527,41.436436,-99.642082
658,YBHI,Broken Hill Airport,958,-31.998983,141.468567,,,,,,,,,,,,,,YBHI,Broken Hill Airport,958,-31.998983,141.468567
659,CZBM,Bromont Airport,375,45.290798,-72.741402,,,,,,,,,,,,,,CZBM,Bromont Airport,375,45.290798,-72.741402
660,ENBN,Bronnoysund Airport,25,65.461113,12.2175,,,,,,,,,,,,,,ENBN,Bronnoysund Airport,25,65.461113,12.2175
661,KBKX,Brookings Airport,1648,44.303333,-96.811111,,,,,,,,,,,,,,KBKX,Brookings Airport,1648,44.303333,-96.811111
662,YBRM,Broome International Airport,56,-17.9447,122.231598,,,,,,,,,,,,,,YBRM,Broome International Airport,56,-17.9447,122.231598
663,KBRO,Brownsville South Padre Island International Airport,22,25.90683,-97.425797,,,,,,,,,,,,,,KBRO,Brownsville South Padre Island International Airport,22,25.90683,-97.425797
664,KBWD,Brownwood Regional Airport,1387,31.794722,-98.956665,,,,,,,,,,,,,,KBWD,Brownwood Regional Airport,1387,31.794722,-98.956665
665,WBSB,Brunei International Airport,73,4.9442,114.928299,,,,,,,,,,,,,,WBSB,Brunei International Airport,73,4.9442,114.928299
666,KBQK,Brunswick Golden Isles Airport,26,31.258801,-81.4664,,,,,,,,,,,,,,KBQK,Brunswick Golden Isles Airport,26,31.258801,-81.4664
667,KSSI,Brunswick Malcolm McKinnon Airport,19,31.15,-81.389999,,,,,,,,,,,,,,KSSI,Brunswick Malcolm McKinnon Airport,19,31.15,-81.389999
668,EBBR,Brussels Airport,184,50.901379,4.484444,,,,,,,,,,,,,,EBBR,Brussels Airport,184,50.901379,4.484444
669,EBCI,Brussels South Charleroi Airport,606,50.459972,4.453121,,,,,,,,,,,,,,EBCI,Brussels South Charleroi Airport,606,50.459972,4.453121
670,KCFD,Bryan Coulter Field,367,30.715691,-96.331299,,,,,,,,,,,,,,KCFD,Bryan Coulter Field,367,30.715691,-96.331299
671,UUBP,Bryansk International Airport,663,53.214191,34.176441,,,,,,,,,,,,,,UUBP,Bryansk International Airport,663,53.214191,34.176441
672,NGUK,Buariki Airport,40,0.185021,173.637085,,,,,,,,,,,,,,NGUK,Buariki Airport,40,0.185021,173.637085
673,SKBG,Bucaramanga Palonegro International Airport,3902,7.126944,-73.184998,,,,,,,,,,,,,,SKBG,Bucaramanga Palonegro International Airport,3902,7.126944,-73.184998
674,LRBS,Bucharest Aurel Vlaicu Airport,297,44.503189,26.10211,,,,,,,,,,,,,,LRBS,Bucharest Aurel Vlaicu Airport,297,44.503189,26.10211
675,LROP,Bucharest Henri Coanda International Airport,314,44.572159,26.102171,,,,,,,,,,,,,,LROP,Bucharest Henri Coanda International Airport,314,44.572159,26.102171
676,PABL,Buckland Airport,24,65.978889,-161.126663,,,,,,,,,,,,,,PABL,Buckland Airport,24,65.978889,-161.126663
677,LHBS,Budapest Budaors Airport,413,47.451065,18.980589,,,,,,,,,,,,,,LHBS,Budapest Budaors Airport,413,47.451065,18.980589
678,LHBP,Budapest Ferenc Liszt International Airport,495,47.436932,19.25559,,,,,,,,,,,,,,LHBP,Budapest Ferenc Liszt International Airport,495,47.436932,19.25559
679,EHBD,Budel Kempen Airport,114,51.2561,5.601917,,,,,,,,,,,,,,EHBD,Budel Kempen Airport,114,51.2561,5.601917
680,SKBU,Buenaventura Gerardo Tobar Lopez Airport,48,3.819592,-76.989601,,,,,,,,,,,,,,SKBU,Buenaventura Gerardo Tobar Lopez Airport,48,3.819592,-76.989601
681,SABE,Buenos Aires Jorge Newbery Airport,14,-34.559525,-58.415234,,,,,,,,,,,,,,SABE,Buenos Aires Jorge Newbery Airport,14,-34.559525,-58.415234
682,SAEZ,Buenos Aires Ministro Pistarini International Airport,67,-34.822201,-58.535801,,,,,,,,,,,,,,SAEZ,Buenos Aires Ministro Pistarini International Airport,67,-34.822201,-58.535801
683,SADM,Buenos Aires Moron Airport,91,-34.676353,-58.642841,,,,,,,,,,,,,,SADM,Buenos Aires Moron Airport,91,-34.676353,-58.642841
684,CYVT,Buffalo Narrows Airport,1444,55.841942,-108.417,,,,,,,,,,,,,,CYVT,Buffalo Narrows Airport,1444,55.841942,-108.417
685,KBUF,Buffalo Niagara International Airport,707,42.940331,-78.729744,,,,,,,,,,,,,,KBUF,Buffalo Niagara International Airport,707,42.940331,-78.729744
686,UWKB,Bugulma Airport,991,54.630001,52.790001,,,,,,,,,,,,,,UWKB,Bugulma Airport,991,54.630001,52.790001
687,HBBA,Bujumbura International Airport,2582,-3.32401,29.31851,,,,,,,,,,,,,,HBBA,Bujumbura International Airport,2582,-3.32401,29.31851
688,AYBK,Buka Airport,11,-5.42232,154.673004,,,,,,,,,,,,,,AYBK,Buka Airport,11,-5.42232,154.673004
689,UTSB,Bukhara International Airport,751,39.775002,64.48333,,,,,,,,,,,,,,UTSB,Bukhara International Airport,751,39.775002,64.48333
690,HTBU,Bukoba Airport,3746,-1.330269,31.818968,,,,,,,,,,,,,,HTBU,Bukoba Airport,3746,-1.330269,31.818968
691,FVBU,Bulawayo Joshua Mqabuko Nkomo International Airport,4359,-20.017401,28.617861,,,,,,,,,,,,,,FVBU,Bulawayo Joshua Mqabuko Nkomo International Airport,4359,-20.017401,28.617861
692,KIFP,Bullhead International Airport,701,35.155972,-114.558998,,,,,,,,,,,,,,KIFP,Bullhead International Airport,701,35.155972,-114.558998
693,YBUN,Bunbury Airport,53,-33.378056,115.676941,,,,,,,,,,,,,,YBUN,Bunbury Airport,53,-33.378056,115.676941
694,YBUD,Bundaberg Airport,107,-24.898708,152.321869,,,,,,,,,,,,,,YBUD,Bundaberg Airport,107,-24.898708,152.321869
695,FZKA,Bunia Airport,4045,1.565719,30.220831,,,,,,,,,,,,,,FZKA,Bunia Airport,4045,1.565719,30.220831
696,KFIN,Bunnell Flagler County Airport,33,29.467501,-81.20639,,,,,,,,,,,,,,KFIN,Bunnell Flagler County Airport,33,29.467501,-81.20639
697,LSZC,Buochs Airport,1475,46.974445,8.396944,,,,,,,,,,,,,,LSZC,Buochs Airport,1475,46.974445,8.396944
698,VVBM,Buon Ma Thuot Airport,1729,12.66831,108.120201,,,,,,,,,,,,,,VVBM,Buon Ma Thuot Airport,1729,12.66831,108.120201
699,KBUR,Burbank Bob Hope Airport,778,34.200661,-118.358002,,,,,,,,,,,,,,KBUR,Burbank Bob Hope Airport,778,34.200661,-118.358002
700,LBBG,Burgas Airport,135,42.56958,27.51523,,,,,,,,,,,,,,LBBG,Burgas Airport,135,42.56958,27.51523
701,LEBG,Burgos Airport,2963,42.357498,-3.613611,,,,,,,,,,,,,,LEBG,Burgos Airport,2963,42.357498,-3.613611
702,VTUO,Buriram Airport,590,15.2295,103.252998,,,,,,,,,,,,,,VTUO,Buriram Airport,590,15.2295,103.252998
703,YBKT,Burketown Airport,16,-17.750515,139.535324,,,,,,,,,,,,,,YBKT,Burketown Airport,16,-17.750515,139.535324
704,KBYI,Burley Municipal Airport,4150,42.542599,-113.772003,,,,,,,,,,,,,,KBYI,Burley Municipal Airport,4150,42.542599,-113.772003
705,KBUY,Burlington Alamance Regional Airport,616,36.048611,-79.474998,,,,,,,,,,,,,,KBUY,Burlington Alamance Regional Airport,616,36.048611,-79.474998
706,KBTV,Burlington International Airport,335,44.471859,-73.153198,,,,,,,,,,,,,,KBTV,Burlington International Airport,335,44.471859,-73.153198
707,KBUU,Burlington Municipal Airport,780,42.691944,-88.303886,,,,,,,,,,,,,,KBUU,Burlington Municipal Airport,780,42.691944,-88.303886
708,KBRL,Burlington Southeast Iowa Regional Airport,698,40.78611,-91.123337,,,,,,,,,,,,,,KBRL,Burlington Southeast Iowa Regional Airport,698,40.78611,-91.123337
709,KBVS,Burlington/Mount Vernon Skagit Regional Airport,118,48.472748,-122.417976,,,,,,,,,,,,,,KBVS,Burlington/Mount Vernon Skagit Regional Airport,118,48.472748,-122.417976
710,YWYY,Burnie Airport,62,-40.99889,145.73111,,,,,,,,,,,,,,YWYY,Burnie Airport,62,-40.99889,145.73111
711,CYPZ,Burns Lake Airport,2350,54.376427,-125.951256,,,,,,,,,,,,,,CYPZ,Burns Lake Airport,2350,54.376427,-125.951256
712,ZWKN,Burqin Kanas Airport,3898,48.221111,86.998055,,,,,,,,,,,,,,ZWKN,Burqin Kanas Airport,3898,48.221111,86.998055
713,LTBR,Bursa Yenisehir Airport,760,40.255001,29.5625,,,,,,,,,,,,,,LTBR,Bursa Yenisehir Airport,760,40.255001,29.5625
714,RKPK,Busan Gimhae International Airport,6,35.17952,128.938202,,,,,,,,,,,,,,RKPK,Busan Gimhae International Airport,6,35.17952,128.938202
715,OIBB,Bushehr Airport,68,28.944811,50.834629,,,,,,,,,,,,,,OIBB,Bushehr Airport,68,28.944811,50.834629
716,YBLN,Busselton Regional Airport,55,-33.687222,115.400276,,,,,,,,,,,,,,YBLN,Busselton Regional Airport,55,-33.687222,115.400276
717,RPVV,Busuanga Airport,148,12.121458,120.100029,,,,,,,,,,,,,,RPVV,Busuanga Airport,148,12.121458,120.100029
718,NGTU,Butaritari Airport,20,3.086669,172.81221,,,,,,,,,,,,,,NGTU,Butaritari Airport,20,3.086669,172.81221
719,KBTP,Butler Regional Airport,1248,40.776901,-79.949699,,,,,,,,,,,,,,KBTP,Butler Regional Airport,1248,40.776901,-79.949699
720,KBTM,Butte Bert Mooney Airport,5550,45.951111,-112.493889,,,,,,,,,,,,,,KBTM,Butte Bert Mooney Airport,5550,45.951111,-112.493889
721,RPME,Butuan Bancasi Airport,141,8.951322,125.477898,,,,,,,,,,,,,,RPME,Butuan Bancasi Airport,141,8.951322,125.477898
722,SBBZ,Buzios Umberto Modiano Airport,10,-22.770763,-41.962856,,,,,,,,,,,,,,SBBZ,Buzios Umberto Modiano Airport,10,-22.770763,-41.962856
723,EPBY,Bydgoszcz Ignacy Jan Paderewski Airport,235,53.096802,17.977659,,,,,,,,,,,,,,EPBY,Bydgoszcz Ignacy Jan Paderewski Airport,235,53.096802,17.977659
724,VVCM,Ca Mau Airport,6,9.177667,105.17778,,,,,,,,,,,,,,VVCM,Ca Mau Airport,6,9.177667,105.17778
725,FNCA,Cabinda Airport,66,-5.59699,12.18835,,,,,,,,,,,,,,FNCA,Cabinda Airport,66,-5.59699,12.18835
726,SBCB,Cabo Frio International Airport,14,-22.92,-42.07,,,,,,,,,,,,,,SBCB,Cabo Frio International Airport,14,-22.92,-42.07
727,MMSL,Cabo San Lucas International Airport,670,22.947701,-109.936996,,,,,,,,,,,,,,MMSL,Cabo San Lucas International Airport,670,22.947701,-109.936996
728,SSKW,Cacoal Airport,778,-11.496,-61.450802,,,,,,,,,,,,,,SSKW,Cacoal Airport,778,-11.496,-61.450802
729,KCAD,Cadillac Wexford County Airport,1303,44.276066,-85.420662,,,,,,,,,,,,,,KCAD,Cadillac Wexford County Airport,1303,44.276066,-85.420662
730,LFRK,Caen Carpiquet Airport,256,49.173279,-0.44987,,,,,,,,,,,,,,LFRK,Caen Carpiquet Airport,256,49.173279,-0.44987
731,EGCK,Caernarfon Airport,14,53.101665,-4.3375,,,,,,,,,,,,,,EGCK,Caernarfon Airport,14,53.101665,-4.3375
732,RPMY,Cagayan de Oro Laguindingan Airport,190,8.6125,124.457222,,,,,,,,,,,,,,RPMY,Cagayan de Oro Laguindingan Airport,190,8.6125,124.457222
733,LIEE,Cagliari Elmas Airport,13,39.251461,9.054283,,,,,,,,,,,,,,LIEE,Cagliari Elmas Airport,13,39.251461,9.054283
734,LFCC,Cahors Lalbenque Airport,882,44.35183,1.476396,,,,,,,,,,,,,,LFCC,Cahors Lalbenque Airport,882,44.35183,1.476396
735,YBCS,Cairns Airport,9,-16.881283,145.750565,,,,,,,,,,,,,,YBCS,Cairns Airport,9,-16.881283,145.750565
736,HECP,Cairo Capital International Airport,760,30.07222,31.83333,,,,,,,,,,,,,,HECP,Cairo Capital International Airport,760,30.07222,31.83333
737,HECA,Cairo International Airport,382,30.121941,31.40555,,,,,,,,,,,,,,HECA,Cairo International Airport,382,30.121941,31.40555
738,SNCL,Cairu Lorenzo Airport,16,-13.389741,-38.910069,,,,,,,,,,,,,,SNCL,Cairu Lorenzo Airport,16,-13.389741,-38.910069
739,SPJB,Cajamarca Airport,8781,-7.13918,-78.489403,,,,,,,,,,,,,,SPJB,Cajamarca Airport,8781,-7.13918,-78.489403
740,SJZA,Cajazeiras Airport,1093,-6.882714,-38.615726,,,,,,,,,,,,,,SJZA,Cajazeiras Airport,1093,-6.882714,-38.615726
741,DNCA,Calabar Margaret Ekpo International Airport,210,4.976019,8.347196,,,,,,,,,,,,,,DNCA,Calabar Margaret Ekpo International Airport,210,4.976019,8.347196
742,LFAC,Calais Dunkerque Airport,10,50.96093,1.951433,,,,,,,,,,,,,,LFAC,Calais Dunkerque Airport,10,50.96093,1.951433
743,SCCF,Calama El Loa Airport,7543,-22.4981,-68.903503,,,,,,,,,,,,,,SCCF,Calama El Loa Airport,7543,-22.4981,-68.903503
744,RPVC,Calbayog Airport,12,12.075833,124.543053,,,,,,,,,,,,,,RPVC,Calbayog Airport,12,12.075833,124.543053
745,SBCN,Caldas Novas Airport,2286,-17.725252,-48.606655,,,,,,,,,,,,,,SBCN,Caldas Novas Airport,2286,-17.725252,-48.606655
746,KCDW,Caldwell Essex County Airport,171,40.875004,-74.280212,,,,,,,,,,,,,,KCDW,Caldwell Essex County Airport,171,40.875004,-74.280212
747,KCXL,Calexico International Airport,1,32.667458,-115.517677,,,,,,,,,,,,,,KCXL,Calexico International Airport,1,32.667458,-115.517677
748,CYYC,Calgary International Airport,3557,51.11388,-114.019997,,,,,,,,,,,,,,CYYC,Calgary International Airport,3557,51.11388,-114.019997
749,SKCL,Cali Alfonso Bonilla Aragon International Airport,3162,3.543056,-76.381599,,,,,,,,,,,,,,SKCL,Cali Alfonso Bonilla Aragon International Airport,3162,3.543056,-76.381599
750,YCAI,Callion Airport,1604,-30.120394,120.570854,,,,,,,,,,,,,,YCAI,Callion Airport,1604,-30.120394,120.570854
751,YCDR,Caloundra Airport,12,-26.799999,153.100006,,,,,,,,,,,,,,YCDR,Caloundra Airport,12,-26.799999,153.100006
752,LFKC,Calvi Sainte-Catherine Airport,209,42.520359,8.793028,,,,,,,,,,,,,,LFKC,Calvi Sainte-Catherine Airport,209,42.520359,8.793028
753,MUCM,Camaguey Ignacio Agramonte International Airport,413,21.42042,-77.847397,,,,,,,,,,,,,,MUCM,Camaguey Ignacio Agramonte International Airport,413,21.42042,-77.847397
754,KCMA,Camarillo Airport,69,34.213715,-119.090408,,,,,,,,,,,,,,KCMA,Camarillo Airport,69,34.213715,-119.090408
755,EGSC,Cambridge Airport,47,52.205002,0.175,,,,,,,,,,,,,,EGSC,Cambridge Airport,47,52.205002,0.175
756,CYCB,Cambridge Bay Airport,90,69.108047,-105.138,,,,,,,,,,,,,,CYCB,Cambridge Bay Airport,90,69.108047,-105.138
757,KCGE,Cambridge Dorchester Airport,20,38.539299,-76.030403,,,,,,,,,,,,,,KCGE,Cambridge Dorchester Airport,20,38.539299,-76.030403
758,YSCN,Camden Airport,230,-34.040199,150.687195,,,,,,,,,,,,,,YSCN,Camden Airport,230,-34.040199,150.687195
759,YCMW,Camooweal Airport,789,-19.913776,138.124054,,,,,,,,,,,,,,YCMW,Camooweal Airport,789,-19.913776,138.124054
760,KADW,Camp Springs Joint Base Andrews,262,38.809425,-76.867081,,,,,,,,,,,,,,KADW,Camp Springs Joint Base Andrews,262,38.809425,-76.867081
761,CYBL,Campbell River Airport,346,49.950829,-125.269997,,,,,,,,,,,,,,CYBL,Campbell River Airport,346,49.950829,-125.269997
762,EGEC,Campbeltown Airport,42,55.43,-5.68,,,,,,,,,,,,,,EGEC,Campbeltown Airport,42,55.43,-5.68
763,MMCP,Campeche International Airport,34,19.81679,-90.500298,,,,,,,,,,,,,,MMCP,Campeche International Airport,34,19.81679,-90.500298
764,SBKG,Campina Grande Airport,1646,-7.26991,-35.896301,,,,,,,,,,,,,,SBKG,Campina Grande Airport,1646,-7.26991,-35.896301
765,SBKP,Campinas Viracopos International Airport,2153,-23.00643,-47.136002,,,,,,,,,,,,,,SBKP,Campinas Viracopos International Airport,2153,-23.00643,-47.136002
766,SBCG,Campo Grande International Airport,1833,-20.468599,-54.672501,,,,,,,,,,,,,,SBCG,Campo Grande International Airport,1833,-20.468599,-54.672501
767,SSKM,Campo Mourao Airport,1854,-24.009199,-52.3568,,,,,,,,,,,,,,SSKM,Campo Mourao Airport,1854,-24.009199,-52.3568
768,SBCP,Campos dos Goytacazes Bartolomeu Lysandro Airport,57,-21.698299,-41.301601,,,,,,,,,,,,,,SBCP,Campos dos Goytacazes Bartolomeu Lysandro Airport,57,-21.698299,-41.301601
769,VVCT,Can Tho International Airport,9,10.08,105.709999,,,,,,,,,,,,,,VVCT,Can Tho International Airport,9,10.08,105.709999
770,SVCN,Canaima Airport,1317,6.232096,-62.854851,,,,,,,,,,,,,,SVCN,Canaima Airport,1317,6.232096,-62.854851
771,LTBH,Canakkale Airport,23,40.137718,26.426769,,,,,,,,,,,,,,LTBH,Canakkale Airport,23,40.137718,26.426769
772,YSCB,Canberra International Airport,1869,-35.3069,149.194443,,,,,,,,,,,,,,YSCB,Canberra International Airport,1869,-35.3069,149.194443
773,MMUN,Cancun International Airport,20,21.03652,-86.876999,,,,,,,,,,,,,,MMUN,Cancun International Airport,20,21.03652,-86.876999
774,SSCN,Canela Airport,2746,-29.370556,-50.832222,,,,,,,,,,,,,,SSCN,Canela Airport,2746,-29.370556,-50.832222
775,ZPCW,Cangyuan Washan Airport,-1,23.273478,99.369987,,,,,,,,,,,,,,ZPCW,Cangyuan Washan Airport,-1,23.273478,99.369987
776,LFMD,Cannes Mandelieu Airport,13,43.546379,6.954167,,,,,,,,,,,,,,LFMD,Cannes Mandelieu Airport,13,43.546379,6.954167
777,TVSC,Canouan Airport,11,12.69904,-61.3424,,,,,,,,,,,,,,TVSC,Canouan Airport,11,12.69904,-61.3424
778,KCNI,Canton Cherokee County Regional Airport,1219,34.310555,-84.423889,,,,,,,,,,,,,,KCNI,Canton Cherokee County Regional Airport,1219,34.310555,-84.423889
779,GOGS,Cap Skirring Airport,66,12.394692,-16.747387,,,,,,,,,,,,,,GOGS,Cap Skirring Airport,66,12.394692,-16.747387
780,MTCH,Cap-Haitien International Airport,10,19.732981,-72.194702,,,,,,,,,,,,,,MTCH,Cap-Haitien International Airport,10,19.732981,-72.194702
781,YCBN,Cape Barren Island Airport,136,-40.390083,148.016464,,,,,,,,,,,,,,YCBN,Cape Barren Island Airport,136,-40.390083,148.016464
782,CYTE,Cape Dorset Airport,164,64.230003,-76.526604,,,,,,,,,,,,,,CYTE,Cape Dorset Airport,164,64.230003,-76.526604
783,KCGI,Cape Girardeau Regional Airport,341,37.225311,-89.570702,,,,,,,,,,,,,,KCGI,Cape Girardeau Regional Airport,341,37.225311,-89.570702
784,KWWD,Cape May County,21,39.008499,-74.908203,,,,,,,,,,,,,,KWWD,Cape May County,21,39.008499,-74.908203
785,YCPR,Cape Preston Airport,83,-20.978449,116.272301,,,,,,,,,,,,,,YCPR,Cape Preston Airport,83,-20.978449,116.272301
786,FACT,Cape Town International Airport,151,-33.964802,18.60166,,,,,,,,,,,,,,FACT,Cape Town International Airport,151,-33.964802,18.60166
787,SVMI,Caracas Simon Bolivar International Airport,235,10.60311,-66.990501,,,,,,,,,,,,,,SVMI,Caracas Simon Bolivar International Airport,235,10.60311,-66.990501
788,SBCJ,Carajas Airport,2037,-6.114749,-50.001945,,,,,,,,,,,,,,SBCJ,Carajas Airport,2037,-6.114749,-50.001945
789,LRCS,Caransebes Airport,828,45.42004,22.252792,,,,,,,,,,,,,,LRCS,Caransebes Airport,828,45.42004,22.252792
790,SWCA,Carauari Airport,355,-4.87152,-66.897499,,,,,,,,,,,,,,SWCA,Carauari Airport,355,-4.87152,-66.897499
791,SBCV,Caravelas Airport,36,-17.652201,-39.252998,,,,,,,,,,,,,,SBCV,Caravelas Airport,36,-17.652201,-39.252998
792,KMDH,Carbondale Murphysboro Southern Illinois Airport,411,37.778099,-89.251999,,,,,,,,,,,,,,KMDH,Carbondale Murphysboro Southern Illinois Airport,411,37.778099,-89.251999
793,LFMK,Carcassonne Airport,433,43.215809,2.308544,,,,,,,,,,,,,,LFMK,Carcassonne Airport,433,43.215809,2.308544
794,EGFF,Cardiff Airport,220,51.396469,-3.33753,,,,,,,,,,,,,,EGFF,Cardiff Airport,220,51.396469,-3.33753
795,EGNC,Carlisle Lake District Airport,190,54.9375,-2.80916,,,,,,,,,,,,,,EGNC,Carlisle Lake District Airport,190,54.9375,-2.80916
796,KCNM,Carlsbad Cavern City Air Terminal Airport,3295,32.337471,-104.263,,,,,,,,,,,,,,KCNM,Carlsbad Cavern City Air Terminal Airport,3295,32.337471,-104.263
797,YCAR,Carnarvon Airport,13,-24.880501,113.672203,,,,,,,,,,,,,,YCAR,Carnarvon Airport,13,-24.880501,113.672203
798,YSCD,Carosue Dam Airport,1306,-30.1737,122.322098,,,,,,,,,,,,,,YSCD,Carosue Dam Airport,1306,-30.1737,122.322098
799,YCPT,Carrapateena Airport,680,-31.308111,137.443481,,,,,,,,,,,,,,YCPT,Carrapateena Airport,680,-31.308111,137.443481
800,KCZT,Carrizo Springs Dimmit County Airport,590,28.52236,-99.823753,,,,,,,,,,,,,,KCZT,Carrizo Springs Dimmit County Airport,590,28.52236,-99.823753
801,KCXP,Carson Airport,4697,39.1922,-119.734001,,,,,,,,,,,,,,KCXP,Carson Airport,4697,39.1922,-119.734001
802,SKCG,Cartagena Rafael Nunez International Airport,4,10.4425,-75.512703,,,,,,,,,,,,,,SKCG,Cartagena Rafael Nunez International Airport,4,10.4425,-75.512703
803,KVPC,Cartersville Airport,759,34.123055,-84.84861,,,,,,,,,,,,,,KVPC,Cartersville Airport,759,34.123055,-84.84861
804,CYCA,Cartwright Airport,40,53.682999,-57.033001,,,,,,,,,,,,,,CYCA,Cartwright Airport,40,53.682999,-57.033001
805,SNRU,Caruaru Airport,1891,-8.28239,-36.0135,,,,,,,,,,,,,,SNRU,Caruaru Airport,1891,-8.28239,-36.0135
806,KCGZ,Casa Grande Municipal Airport,1464,32.955158,-111.766068,,,,,,,,,,,,,,KCGZ,Casa Grande Municipal Airport,1464,32.955158,-111.766068
807,GMMN,Casablanca Mohammed V International Airport,656,33.367458,-7.58996,,,,,,,,,,,,,,GMMN,Casablanca Mohammed V International Airport,656,33.367458,-7.58996
808,LPCS,Cascais Municipal Aerodrome,325,38.725555,-9.355278,,,,,,,,,,,,,,LPCS,Cascais Municipal Aerodrome,325,38.725555,-9.355278
